,category,subcategory,topic,url
179,game,racing,Car Mechanic Simulator 2015,https://store.steampowered.com/app/320300/Car_Mechanic_Simulator_2015/?snr=1_tags_4__104
180,game,racing,Grand Theft Auto V,https://store.steampowered.com/app/271590/Grand_Theft_Auto_V/?snr=1_tags_4__1454
181,game,racing,Rocket League®,https://store.steampowered.com/app/252950/Rocket_League/?snr=1_tags_4__1454
182,game,racing,Assetto Corsa,https://store.steampowered.com/app/244210/Assetto_Corsa/?snr=1_tags_4__1454
183,game,racing,GRID 2,https://store.steampowered.com/app/44350/GRID_2/?snr=1_tags_4__1454
184,game,racing,Crossout,https://store.steampowered.com/app/386180/Crossout/?snr=1_tags_4__1454
185,game,racing,F1 2018,https://store.steampowered.com/app/737800/F1_2018/?snr=1_tags_4__1454
186,game,racing,BeamNG.drive,https://store.steampowered.com/app/284160/BeamNGdrive/?snr=1_tags_4__1454
187,game,racing,Car Mechanic Simulator 2018,https://store.steampowered.com/app/645630/Car_Mechanic_Simulator_2018/?snr=1_tags_4__1454
188,game,racing,F1 2015,https://store.steampowered.com/app/286570/F1_2015/?snr=1_tags_4__1454
189,game,racing,TrackMania² Stadium,https://store.steampowered.com/app/232910/TrackMania_Stadium/?snr=1_tags_4__1454
190,game,racing,Mad Max,https://store.steampowered.com/app/234140/Mad_Max/?snr=1_tags_4__1454
191,game,racing,Project CARS 2,https://store.steampowered.com/app/378860/Project_CARS_2/?snr=1_tags_4__1454
192,game,racing,The Crew™ 2,https://store.steampowered.com/app/646910/The_Crew_2/?snr=1_tags_4__1454
193,game,racing,Motorsport Manager,https://store.steampowered.com/app/415200/Motorsport_Manager/?snr=1_tags_4__1454
194,game,racing,DiRT Rally 2.0,https://store.steampowered.com/app/690790/DiRT_Rally_20/?snr=1_tags_4__1454
195,game,racing,Byte Driver,https://store.steampowered.com/app/944300/Byte_Driver/?snr=1_tags_4__105
196,game,racing,Dude Simulator 5,https://store.steampowered.com/app/1086640/Dude_Simulator_5/?snr=1_tags_4__105
197,game,racing,Retro Pixel Racers,https://store.steampowered.com/app/1073040/Retro_Pixel_Racers/?snr=1_tags_4__105
198,game,racing,JetX Space Edition,https://store.steampowered.com/app/1073640/JetX_Space_Edition/?snr=1_tags_4__105
199,game,racing,Racing Fighters,https://store.steampowered.com/app/1056340/Racing_Fighters/?snr=1_tags_4__105
